tweet,polarity
"@butiranmeses Engga juga, gw kuliah daring tetep tidur cepet🙂",-1
Keknya w lebih produktif klo kuliah daring deh,1
"Ado kito sir gosok baju lagi kuliah daring cak ini, Astagfirullah",-1
"Btw dengan kata lain kan semester depan masih kuliah daring,   Aku pengen tau kabar barang2 ku di rumah bude yg di Solo gimana🥺 PC albumku disitu semua tulunk",1
"kuliah daring, pas UAS pusing.",-1
"@juminjuley ngga cley, aku kayanya bakal lama di rumah soalnya masih kuliah daring ㅠㅠ ga jauh juga kok hehe makasih yaa &gt;&lt;",-1
"akhirnya aku menemukan lagi temen rl yang mengakui nonton gose semenjak kuliah daring @pledis_17 , abis ini saatnya hasut menyukai lagunya haha",-1
Gue selama mengikuti kuliah daring selama ini.,-1
Yeyyy kuliah daring semester6!  🔫,-1
"@damprad liburannya ke labuan bajo, recom dong  dan kuliah daring, yeay mahasiswa/i semakin stress",-1
"minggu terakhir kuliah daring semester tujuh. apakah gaada tukar kado atau foto bareng, gitu?",1
seseorang yg punya kuota banyak wifi berlimpah ga akan pernah bisa dibandingin mau streaming byk2 pagi siang malem tanpa henti tp kuota sedikit tp masih hrs dibagi dgn kuliah daring meski gt ternyata ga ada harganya semuanya terasa sia2 meskipun udh berjuang setengah mati 😖,-1
fucked up bgt sama kuliah daring,-1
Pengen liburann.. capek poll kuliah daring.. kasian mata sama laptopku.. panas cuy Kapan kuliah offline🙄 edaran perkuliahan smt depan masih daring😶😶,-1
"@collegemenfess kalo terus2an kuliah daring gini, ilmu ga dpt but ukt jalan terosss syg bgt duid gw jadinya",1
"Sa'at kuliah masih tatap muka, semua terasa baik-baik saja, namun ketika kuliah daring, semua terasa berantakan, dalam benak muncul sebuah pertanyaan, apakah orang tua akan mema'afkan anaknya ini?",-1
"ini kek definisi dosen yg gamau tau, tapi kalo telat telat atau ada urusan minta dimaklumi, tapi tugas ya tetep jalan. Aku ga ngerayain natal tapi asli sih ini kasian temen-temenku yg natalan katanya tugas tetep dikasih soalnya kuliah daring",-1
@_clafthecat Pinginnya sih biar ada yg nemenin kuliah daring. 🤣,1
Kuliah daring emang kejammmmm 💔,-1
Sudah libur semester. Tinggal fokus menyiapkan kuliah daring untuk semester besok.  https://t.co/oAaMgq16Km,1
"gue kuliah daring sampe agustus, mending stay di manaa yaaa?",-1
@unitedkth Gimana kuliah daring nya?,-1
@traveloka Semoga 2021 mnjd tahun yg kembali sehat bebas dr wabah corona dan segala hal apapun kembali spt semula. Ngga lagi wfh dan ga lagi kuliah daring satu lagi bisa jalan jalan lagii ga pake batasan apa apa🥺 #TravelokaKemudian,-1
"Lama-lama akun ini bisa aku jadiin fan acc deh. Padahal di sana juga dapet konten, malah kubawa ke sini juga. Gak tau lagi mau bahas apa dong, idupku nolep disambi kuliah daring.",-1
"Kek nya tiap naek kereta malem bawaan nya cape mulu, mana 3 jam 😌 untung besok kuliah daring tapi tetep magang 🙃",-1
Kuliah daring sampe kapan nichhh,-1
@faysn @Michel_ibnu @iamsantoso97 @v60kintamani @SheraAlUzza @RodriChen Belum tau perjuangan anak daerah kalo kuliah daring harus diatas genteng,-1
"Dukanya jadi maba online yaitu nggak bisa ketemu tatap muka langsung, ngga bisa belajar bareng karna terkendala ruang dan jarak, kadang suka ngga fokus kalo belajar/kuliah daring di rumah, banyak penganggunya wkwkwk #kultwit #literateproject4.0 #prodiperpustakaan #vokasiunair",1
Di semester ini kita ga banyak belajar. Kuliah daring aja masih banyak skipnya apa lagi tatap muka?,-1
@collegemenfess Jujur nder sem 5 + kuliah daring bener-bener beban😭 tugas gak ada hentinyaa nder kek datang bertubi-tubi tanpa jeda ditambah dl waktu yang mepet belum lagi udah mulai pusing mikirin konsentrasi apa yang mau diambil sampe rasanya pengen berenti tapi sayang karena udh separo jalan,-1
@bakuchimol iyaa gpp mumpung kuliah daring,-1
"@collegemenfess Lagian lo latah anjir, ini mulu yg dibahas. Daripada lo sedih mending lo pake skill problem solving lo buat menghadapi kuliah daring tahun depan",-1
Minus dan silider mata: (Ya tks kuliah daring)  https://t.co/waiEoDGEEY,-1
"@collegemenfess Kalo kata gue, malah bagus daring. Dengan adanya keadaan pandemi, justru kalo luring malah membahayakan dan bikin miris.  Soal tugas yang banyak dan materi yg susah dimengerti pas kuliah daring-- manusia tuh punya will untuk survive dan beradaptasi, jadi bisa ngelewatin.",-1
Harusnya gas sudah daritadi,-1
"Kuliah daring tp gawai ga memadai kan gaenak, makanya itu beli gawai baru",1
"beneran corona &amp; kuliah daring, ngerubah kebiasaan gue saat menjelang natal.. dan gatau gue kalo natal ke gereja apa enggak, corona di dom gue makin parah... gereja ditutup lagi.. dan anjingnya mall masih dibuka karna christmas sale... + efek pilkada",-1
"@ddaeggukk sama anjir... jadi lupa daratan 😭 padahal sebelum kuliah daring gini, gue biasanya udah belanja keperluan natal sekarang, sekarang mah cuma fokus nugas mulu :'(",-1
Ngundang ke rumahnya katanya syukuran. Eh ternyata MLM anjir!!!,1
Anjir di prank teman smp!!!,-1
"@collegemenfess ""mayan si kak"" . Di pelajaran mana gue main hp ters, sibuk sisiran karena rembes blum mandi, gataunya pas matkul berakhir, dosen didepan bilang 'ya ini dosen baru ya bu xxx, gimana bu?'  😭😭😭😭 Dahlah abis itu kuliah daring selama pandemi.",1
@collegemenfess Aku sendernya kak  Saya sedang melakukan pengamatan mengenai masalah kesehatan mental mahasiswa selama kuliah daring.  Mohon bantuannya untuk diisi kuisioner dibawah ini ya  https://t.co/ipXjCvThw2  Terima kasih banyak 😇,1
"[cm] halo, jadi aku lagi melakukan pengamatan kesehatan mental mahasiswa selama kuliah daring, mau minta tolong isi kuisioner apa boleh? Kriterianya cuma mahasiswa di Indonesia. Nanti aku drop dibawah link nya. Makasih 😇",1
"@collegemenfess Halo, saya sedang melakukan pengamatan mengenai masalah kesehatan mental mahasiswa selama kuliah daring.  Mohon bantuannya untuk diisi kuisioner dibawah ini ya  https://t.co/ipXjCvThw2  Terima kasih banyak 😇",1
"@dwikimic Kuliah tatap muka iya mandi, kuliah daring engga. Lu dua² nya mndi gak ?",-1
"Agak sedih sih kalo kuliah daring berakhir, gabisa kuliah tanpa mandi pagi lagi",-1
"Semua dosen lah seperti ini, khusus pas kuliah daring aja gapapa deh  https://t.co/ZLeob5y0iB",1
@collegemenfess sedih katamu? ini lho kenapa harus kuliah daring lagi.  https://t.co/bmLbZ3EPio,-1
"@collegemenfess Pengen kuliah daring, tapi pas praktek ttp ke kampus",1
[cm] Sedih guys 2021 kampusku masih lakukan kuliah daring :( kalau kampus kalian gimana ?  https://t.co/248p74p151,-1
"@lilbtchyy Halo kak terimakasih untuk give giveaway semoga kebaikan kaka segera diberikan ganti yang lebih berkali lipat dan semoga rezekinya selalu dilancarkan.  Aku izin ikut giveawaynya ya kak, soalnya butuh buat tambahan beli kuota untuk keperluan kuliah daring. Terimakasih sebelumnya🙏",1
"@vkookssky rumah deket tapi sibuk kuliah daring :""""""""""""",1
@SkyForuz okay fix kamu betah kuliah daring :)),-1
@RendyStevenPra1 Aku bingung bagi waktu antara kuliah daring + nugas sama belajar buat utbk 😭😭 rasanya otak kek hiiihhh astaga 😫,-1
Fak fak fak kuliah daring.....  https://t.co/tMFV4yCQLN,-1
@collegemenfess Semester 5 trs dikasih kuliah daring gini sudahlah~  sabar ya diri 2 Minggu lagi kamu udahan kok :'))))),1
Terimakasih kuliah daring.  Berkatmu aku tau yang mana benar-benar teman. Dan berkatmu sekarang aku juga berkacamata ✨,1
Hore kuliah daring diperpanjang🙃🙃,1
"Pusing TA UAS semuanya handle sendiri one man show mulai dari pra produksi sinopsis skenario storyboard,  produksi shooting jadi talent kameramen, post production editing dan vfx.  Kuliah daring nyusahi 😡 covid19 bikin ribet  https://t.co/RaJdmUCsvO",-1
Kuliah daring kelamaan.. Mahasiswanya pada nikah semua.. Kuliah tatp muka pada bawa anak n bunting,-1
@collegemenfess semester 5 + kuliah daring wowwww stresss,-1
"[PRESS RELEASE : Gelar Forum Advokasi ke-2, Kemenhadkesma BEM UNRI Angkat Tajuk ‘Problema Kuliah Daring di Masa Pandemi’]  Hai, Pejuang Membara!  Sabtu, (19/12/2020) - Pandemi Covid-19 mempengaruhi semua aspek kehidupan, tak terkecuali ...  Selengkapnya di  https://t.co/XFg6KeBeAN  https://t.co/0OS1Vb8Q2Y",-1
sayang bgt kemeja bem selama 1 tahun kepengurusan ga kepake gara gara kuliah daring 😭💔,-1
dosenku bisa bisaan ngasih tugas dadakan gini kok bisa 😭 buenci aku kuliah daring,-1
niat bikin video organisasi/maen &gt; niat bikin video kuliah daring,-1
"bener bener br ngerasakno kuliah daring bkin mkin guoblok, prinsip desain rareti smskali",-1
"Krsan - stress kuliah daring - ribut golek duit nggo bayar ukt, ngono wae terus",-1
"ouh baru tersadar, ternyata yang bikin semua membosankan dikuliah ini adalah kuliah daring!. ngarti kagak, yang ada ngabisin waktu doang",-1
"ouh baru tersadar, ternyata yang bikin semua membosankan dikuliah ini adalah kuliah daring!",-1
"2021 tetep kuliah daring, maka nikmat tuhan mana lagi yang lagi dustakan.",-1
@Naunaback @samsungID pastinya note20 bisa ngatasin kendala ku pas kuliah daring gini. dan bisa hemat uang juga buat ga beli hp baru🥺🤧 jadi uang nya bisa dipake buat bayar ukt🤧 daannn ga ngeberatin ortuku kalo bisa dapet giveaway ini huhu wish me luck🥺 #GalaxyNote20 @samsungID,-1
"@Naunaback @samsungID suka banget sama note20 ini selain warnanya yang gemes, fiturnya juga keren!!! udah lama mau punya samsung yg note series tapi belum kesampean. aku jg belom bisa ganti hp jd kadang suka ada kendala pas kuliah daring gini #GalaxyNote20 @samsungID",-1
@ciaarufu @felixsiauw @fuadhnaim @shifrunn @xkwavers Bisa ga bu klo misal kuliah daring dan kesehatan mental yg  dbhs,1
@collegemenfess Satu satunya yg gue sebel dr kuliah daring adalah beberapa dosen nganggep kuliah daring = jamnya fleksibel alias suka suka dia mau buka kelas&amp;buka absen kapan aja:((,-1
